corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_1000_10000,10000,0,cnc_train_100_1000_10000_10,The company accused the employee of stealing confidential information due to evidence found on their work computer during a routine audit.,The company accused <ARG1>the employee of stealing confidential information</ARG1> due to <SIG0>evidence found on their work computer</SIG0> <ARG0>during a routine audit</ARG0>.,1
cnc,train_1001_10001,10001,0,cnc_train_101_1001_10001_10,"""The students organized a protest because they were unhappy with the new tuition fees.""","""<ARG1>The students organized a protest</ARG1> because <ARG0>they were unhappy with the new tuition fees</ARG0>.""",1
cnc,train_1002_10002,10002,0,cnc_train_102_1002_10002_10,'The students are excited because they won the science fair and received recognition for their hard work.','<ARG1>The students are excited</ARG1> <SIG0>because</SIG0> <ARG0>they won the science fair and received recognition for their hard work</ARG0>.',1
cnc,train_1003_10003,10003,0,cnc_train_103_1003_10003_10,'Poor air quality can cause respiratory issues and worsen existing conditions.','<ARG0>Poor air quality</ARG0> <SIG0>can <ARG1>cause respiratory issues and worsen existing conditions</SIG0>.',1
cnc,train_1004_10004,10004,0,cnc_train_104_1004_10004_10,"Since the news about the company's financial downfall spread, many employees have started to look for new job opportunities to secure their future.","Since the news about the company's financial downfall spread, <ARG0>many employees</ARG0> <SIG0>have started to look for new job opportunities</SIG0> <ARG1>to secure their future.</ARG1>",1
cnc,train_1005_10005,10005,0,cnc_train_105_1005_10005_10,"On the morning of September 10th, 2015 at 3:49 AM in Kochi, it was discovered that due to heavy traffic on the highway, a transport truck was delayed in delivering its cargo to the destination. As a result, the delivery was not made on time and the customer had to wait longer than expected causing frustration and inconvenience.","On the morning of September 10th, 2015 at 3:49 AM in Kochi, it was discovered that due to heavy traffic on the highway, <ARG0>a transport truck was delayed in delivering its cargo to the destination</ARG0>. As a result, <ARG1>the delivery was not made on time and the customer had to wait longer than expected</ARG1> <SIG0>causing frustration and inconvenience</SIG0>.",1
cnc,train_1006_10006,10006,0,cnc_train_106_1006_10006_10,'She failed to water the plants for several weeks and as a result they withered and died.','She failed to water the plants <ARG0>for several weeks</ARG0> and <SIG0>as a result</SIG0> <ARG1>they withered and died</ARG1>.',1
cnc,train_1007_10007,10007,0,cnc_train_107_1007_10007_10,'Due to the heavy rain the match was postponed to ensure the safety of the players.','<ARG0>Due to the heavy rain</ARG0> <SIG0>the match was postponed</SIG0> <ARG1>to ensure the safety of the players</ARG1>.',1
cnc,train_1008_10008,10008,0,cnc_train_108_1008_10008_10,'The car skidded off the road due to the icy conditions.','<ARG1>The car skidded off the road</ARG1> <SIG0>due to</SIG0> <ARG0>the icy conditions</ARG0>.',1
cnc,train_1009_10009,10009,0,cnc_train_109_1009_10009_10,"'In order to improve her athletic performance, Sarah started training with a professional coach.'","'<ARG0><SIG0>In order to</SIG0> improve her athletic performance</ARG0>, <ARG1>Sarah started training with a professional coach</ARG1>.'",1
