corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_01_0,892,0,cnc_train_01_0_892_0,"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .","['The State alleged <ARG1>they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016</ARG1> , allegedly <SIG0>over</SIG0> <ARG0>the allocation of low cost ( RDP ) houses at Marikana West Extension 2</ARG0> .']",1
cnc,train_01_1,2714,0,cnc_train_01_1_2714_0,"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .",[],0
cnc,train_01_10,2619,0,cnc_train_01_10_2619_0,The farmworkers ' strike resumed on Tuesday when their demands were not met .,"[""<ARG1>The farmworkers ' strike resumed on Tuesday</ARG1> when <ARG0>their demands were not met</ARG0> .""]",1
cnc,train_01_100,2680,0,cnc_train_01_100_2680_0,"Demonstrators have filed for a permit to hold a rally on Saturday in Yuen Long , the district on the outskirts of Hong Kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital .","['<ARG1>Demonstrators have filed for a permit</ARG1> <ARG0><SIG0>to</SIG0> hold a rally on Saturday in Yuen Long</ARG0> , the district on the outskirts of Hong Kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital .', 'Demonstrators have filed for a permit to hold a rally on Saturday in Yuen Long , the district on the outskirts of Hong Kong where <ARG0>dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods</ARG0> , <ARG1><SIG0>leaving</SIG0> at least 45 people in hospital</ARG1> .']",2
cnc,train_01_101,3090,0,cnc_train_01_101_3090_0,"Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence .","['<ARG0>Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night</ARG0> , <ARG1><SIG0>fuelling</SIG0> further political unrest</ARG1> as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence .', 'Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night , fuelling further political unrest as <ARG1>demonstrators , opposition lawmakers and others demanded answers from authorities</ARG1> <SIG0>for</SIG0> <ARG0>failing to stop the violence</ARG0> .']",2
cnc,train_01_102,274,0,cnc_train_01_102_274_0,"Max Chung , who delivered the application for a letter of no objection from the police , that is required to hold a rally , said : “ We want to show to the public and international community that Hong Kongers , we will never surrender in front of terrorism … To show our solidarity and say no to terrorism , we have to stand up. ” Chung said : “ Yuen Long was under terrorist attack and we have no choice but to take it back. ” The protests , principally over a controversial bill that would allow suspects to be extradited from Hong Kong to mainland China , have taken on new demands , including an investigation into police use of rubber bullets , teargas and physical violence against protesters .",[],0
cnc,train_01_103,2840,0,cnc_train_01_103_2840_0,Protesters are angry at the police ’ s slow response to the attack in Yuen Long and their pursuit of the case .,['<ARG1>Protesters are angry</ARG1> <SIG0>at</SIG0> <ARG0>the police ’ s slow response to the attack in Yuen Long and their pursuit of the case</ARG0> .'],1
cnc,train_01_104,2950,0,cnc_train_01_104_2950_0,The violence in Yuen Long has heightened tensions and fears of further attacks .,['<ARG0>The violence in Yuen Long</ARG0> <SIG0>has <ARG1>heightened</SIG0> tensions and fears of further attacks</ARG1> .'],1
cnc,train_01_105,3071,0,cnc_train_01_105_3071_0,"On Tuesday evening , unverified footage showed men in white gathering in Tuen Mun , another city near Yuen Long in the New Territories .",[],0
cnc,train_01_106,430,0,cnc_train_01_106_430_0,"Hong Kong ’ s leader , Carrie Lam , said the “ shocking violence ” in Yuen Long would be investigated , but devoted most of her comments to criticising protesters , who surrounded Beijing ’ s liaison office in Hong Kong and defaced the national emblem of the People ’ s Republic of China on Sunday .",[],0
cnc,train_01_107,3187,0,cnc_train_01_107_3187_0,"On Tuesday , a group of aviation staff called for a protest at Hong Kong airport on Friday to condemn the government and police for “ ignoring the random attacks on citizens in Yuen Long ” .","['On Tuesday , <ARG1>a group of aviation staff called for a protest at Hong Kong airport on Friday</ARG1> <ARG0><SIG0>to</SIG0> condemn the government and police</ARG0> for “ ignoring the random attacks on citizens in Yuen Long ” .', 'On Tuesday , a group of aviation staff called for a protest at Hong Kong airport on Friday <ARG1>to condemn the government and police</ARG1> <SIG0>for</SIG0> <ARG0>“ ignoring the random attacks on citizens in Yuen Long ”</ARG0> .']",2
cnc,train_01_108,2227,0,cnc_train_01_108_2227_0,"In Yuen Long , Chung and other protesters are demanding the government conducts an independent investigation and officially characterises the violence as a “ cross-border terrorist attack ” .",[],0
cnc,train_01_109,2504,0,cnc_train_01_109_2504_0,"Hailey Leung , a university student who has been attending the protests this summer , said : “ The fear of the gangs is definitely stronger than the fear of the use of violence of the police. ” Her parents have been supportive of the protests but , since the violence in Yuen Long , they have asked her not to attend .","['Hailey Leung , a university student who has been attending the protests this summer , said : “ The fear of the gangs is definitely stronger than the fear of the use of violence of the police. ” Her parents have been supportive of the protests but , <SIG0>since</SIG0> <ARG0>the violence in Yuen Long</ARG0> , <ARG1>they have asked her not to attend</ARG1> .']",1
cnc,train_01_11,1696,0,cnc_train_01_11_1696_0,NHAI Case : Cops Fail to Produce Accused in Court,[],0
cnc,train_01_11,3048,0,cnc_train_01_11_3048_0,"10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .","['10th September 2015 03:49 AM KOCHI : <ARG1>Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday</ARG1> , after <ARG0>jail authorities in Coimbatore failed to arrange escort for him</ARG0> .']",1
cnc,train_01_110,585,0,cnc_train_01_110_585_0,"Suddenly , a motley group of slogan-shouting students emerged from the dhaba .",[],0
cnc,train_01_111,2444,0,cnc_train_01_111_2444_0,"They exhorted us to join the protest against the recommendations of the Mandal Commission , which had been implemented a day earlier .",[],0
cnc,train_01_112,916,0,cnc_train_01_112_916_0,Thus we too joined the sloganeering .,[],0
cnc,train_01_113,1930,0,cnc_train_01_113_1930_0,"By the time the self-styled leaders had commandeered a few DTC buses , nearly 200 postgraduate and doctoral students had gathered at an intersection , which later became the epicentre of protests and was rechristened euphemistically as Kranti Chowk .",[],0
cnc,train_01_114,700,0,cnc_train_01_114_700_0,"Some hotheads tried to gatecrash , provoking the policemen into action  they charged ferociously , dispersing the crowd within minutes .","['<ARG0>Some hotheads tried to gatecrash</ARG0> , <ARG1><SIG0>provoking</SIG0> the policemen into action</ARG1> \x97 they charged ferociously , dispersing the crowd within minutes .', 'Some hotheads tried to gatecrash , <ARG0>provoking the policemen into action</ARG0> \x97 <ARG1>they charged ferociously</ARG1> , dispersing the crowd within minutes .', 'Some hotheads tried to gatecrash , provoking the policemen into action \x97 <ARG0>they charged ferociously</ARG0> , <ARG1>dispersing the crowd within minutes</ARG1> .']",3
cnc,train_01_115,751,0,cnc_train_01_115_751_0,"That night , Doordarshan telecast news of protests .",[],0
cnc,train_01_116,2822,0,cnc_train_01_116_2822_0,"Jammu : Delhi court blast accused killed in Kishtwar August 07 , 2012 00:00 IST A 2011 Delhi High Court blast accused , Amir Ali Kamal , was among two Hizb—ul—Mujahideen ( HM ) militants killed on Monday in a shootout with security forces in the mountainous Kishtwar district of Jammu and Kashmir , police said .","['Jammu : Delhi court blast accused killed in Kishtwar August 07 , 2012 00:00 IST <ARG1>A 2011 Delhi High Court blast accused , Amir Ali Kamal , was among two Hizb—ul—Mujahideen ( HM ) militants killed on Monday</ARG1> in <ARG0>a shootout with security forces in the mountainous Kishtwar district of Jammu and Kashmir</ARG0> , police said .']",1
cnc,train_01_117,510,0,cnc_train_01_117_510_0,"As we closed in on the hideout of the militants , a fire fight began that continued for over an hour , ” he said .",[],0
cnc,train_01_118,925,0,cnc_train_01_118_925_0,"According to reports , two militants have been shot dead in the encounter .",[],0
cnc,train_01_119,2743,0,cnc_train_01_119_2743_0,"“ One of them is Amir Ali Kamal , code name Akram , who was prime accused in the Delhi High Court blast , ” the officer said .",[],0
cnc,train_01_12,692,0,cnc_train_01_12_692_0,It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,[],0
cnc,train_01_120,1954,0,cnc_train_01_120_1954_0,Akram was on the radar of the National Investigation Agency ( NIA ) as he is believed to have arranged explosives and planter for the blast .,"['<ARG1>Akram was on the radar of the National Investigation Agency ( NIA )</ARG1> <SIG0>as</SIG0> <ARG0>he is believed to have arranged explosives and planter for the blast</ARG0> .', 'Akram was on the radar of the National Investigation Agency ( NIA ) as he is believed to have <ARG1>arranged explosives and planter</ARG1> <SIG0>for</SIG0> <ARG0>the blast</ARG0> .']",2
cnc,train_01_121,2530,0,cnc_train_01_121_2530_0,"He is an accused in the Delhi High Court blast of Sep 7 , 2011 in which at least 10 people were killed and over 70 injured .","['He is an accused in <ARG0>the Delhi High Court blast of Sep 7 , 2011</ARG0> in which <ARG1>at least 10 people were killed and over 70 injured</ARG1> .']",1
cnc,train_01_122,1324,0,cnc_train_01_122_1324_0,The NIA wanted to catch Akram alive as he could provide clues in resolving the blast case .,['<ARG1>The NIA wanted to catch Akram alive</ARG1> <SIG0>as</SIG0> <ARG0>he could provide clues in resolving the blast case</ARG0> .'],1
cnc,train_01_123,933,0,cnc_train_01_123_933_0,The Kishtwar area has been in focus ever since the Delhi High Court blast as the first of the e—mails claiming responsibility for the blast emanated from here .,[],0
cnc,train_01_124,1264,0,cnc_train_01_124_1264_0,Two more youths were arrested later for allegedly being involved in the blast .,['<ARG1>Two more youths were arrested later</ARG1> <SIG0>for</SIG0> <ARG0>allegedly being involved in the blast</ARG0> .'],1
cnc,train_01_125,656,0,cnc_train_01_125_656_0,Modi visited the homes of all the six victims of the serial blasts which rocked Patna ’ s Gandhi Maidan and other parts of the city during his visit to address the Hunkar Rally on October 27 .,[],0
cnc,train_01_126,845,0,cnc_train_01_126_845_0,"﻿NaMo , who had avoided visiting the victims of the 2002 riots in his own state for a long time , lost no time in burning up aviation fuel by dashing to Patna twice in one week to express condolences and score points over his rambunctious rivals .","['<ARG1>\ufeffNaMo , who had avoided visiting the victims of the 2002 riots in his own state for a long time , lost no time in burning up aviation fuel</ARG1> <SIG0>by</SIG0> <ARG0>dashing to Patna twice in one week to express condolences and score points over his rambunctious rivals</ARG0> .', '\ufeffNaMo , who had avoided visiting the victims of the 2002 riots in his own state for a long time , lost no time in burning up aviation fuel by <ARG1>dashing to Patna twice in one week</ARG1> <ARG0><SIG0>to</SIG0> express condolences and score points over his rambunctious rivals</ARG0> .']",2
cnc,train_01_127,533,0,cnc_train_01_127_533_0,"Now , he is charged with exploiting the grief of the terror victims of 26/10 .",[],0
cnc,train_01_128,1654,0,cnc_train_01_128_1654_0,"By visiting the families of the Patna blast victims , NaMo is drilling home the point that NiKu is least bothered about the personal tragedies of his people .",[],0
cnc,train_01_129,3114,0,cnc_train_01_129_3114_0,"In August that year , militantly aggressive Kurmis mowed down 14 Dalits in the sleepy hamlet of Belchchi in Nalanda district .",[],0
cnc,train_01_13,1285,0,cnc_train_01_13_1285_0,Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,[],0
cnc,train_01_130,1739,0,cnc_train_01_130_1739_0,"Indira landed in Nalanda and waded into the floodwaters on an elephant to visit each Dalit family , which had lost members in the caste pogrom .","['<ARG1>Indira landed in Nalanda and waded into the floodwaters on an elephant</ARG1> <ARG0><SIG0>to</SIG0> visit each Dalit family , which had lost members in the caste pogrom</ARG0> .']",1
cnc,train_01_131,3262,0,cnc_train_01_131_3262_0,The grief list also includes the nights spent by Rahul in Dalit colonies and the visits of Manmohan Singh and Sonia Gandhi to Chhattisgarh after top Congress leaders were massacred by Naxalites .,[],0
cnc,train_01_132,730,0,cnc_train_01_132_730_0,Modiites are now reminding the Congress about the trips which Sonia and the Prime Minister made to Muzzafarnagar after 43 were killed in the worst-ever communal clashes in decades .,[],0
cnc,train_01_133,2021,0,cnc_train_01_133_2021_0,Bandhopadhay also said two Trinamool Congress workers were killed at Sashan in North 24 Parganas district recently .,[],0
cnc,train_01_134,138,0,cnc_train_01_134_138_0,"A car with Union ministers Mukul Roy and Sultan Ahmed was attacked allegedly by CPM cadres on Wednesday , he alleged .",[],0
